"parkingstreetkey","USRN","StreetName","parkingZoneKey"
"2106","8400001","First Avenue","30"
"3249","8400001","First Avenue","30"
"5949","8400001","First Avenue","30"
"219","8400002","Fisherton Street","15"
"2107","8400002","Fisherton Street","15"
"3250","8400002","Fisherton Street","12"
"5267","8400002","Fisherton Street","12"
"5950","8400002","Fisherton Street","12"
"2110","8400003","Fitzhardinge Street","52"
"3251","8400003","Fitzhardinge Street","52"
"5129","8400003","Fitzhardinge Street","52"
"2111","8400004","Fitzmaurice Place","47"
"3252","8400004","Fitzmaurice Place","47"
"5951","8400004","Fitzmaurice Place","47"
"5952","8400005","Flaxman Court","57"
"2112","8400005","Flaxman Court","57"
"3253","8400005","Flaxman Court","57"
"717","8400006","Poets' Corner","40"
"718","8400006","Poets' Corner","63"
"4012","8400006","Poets' Corner","42"
"6369","8400006","Poets' Corner","42"
"5954","8400007","Floral Street","57"
"2114","8400007","Floral Street","57"
"3256","8400007","Floral Street","57"
"2115","8400008","Foley Street","52"
"3257","8400008","Foley Street","52"
"5229","8400008","Foley Street","52"
"568","8400010","Belgrave Mews West","3"
"2658","8400010","Belgrave Mews West","3"
"5595","8400010","Belgrave Mews West","3"
"580","8400011","Belgrave Place","3"
"2659","8400011","Belgrave Place","3"
"5596","8400011","Belgrave Place","3"
"593","8400012","Belgrave Road","2"
"2660","8400012","Belgrave Road","2"
"4871","8400012","Belgrave Road","2"
"605","8400013","Belgrave Square","3"
"2661","8400013","Belgrave Square","3"
"4769","8400013","Belgrave Square","3"
"39","8400014","Bell Street","15"
"634","8400014","Bell Street","15"
"5256","8400014","Bell Street","12"
"4770","8400014","Bell Street","15"
"2664","8400014","Bell Street","12"
"648","8400015","Bell Yard","57"
"5598","8400015","Bell Yard","57"
"2665","8400015","Bell Yard","57"
"43","8400016","Bendall Mews","15"
"659","8400016","Bendall Mews","15"
"2666","8400016","Bendall Mews","12"
"5257","8400016","Bendall Mews","12"
"5599","8400016","Bendall Mews","12"
"711","8400017","Bentinck Mews","52"
"2669","8400017","Bentinck Mews","52"
"5602","8400017","Bentinck Mews","52"
"1577","8400018","Burlington Gardens","47"
"2811","8400018","Burlington Gardens","47"
"5111","8400018","Burlington Gardens","47"
"1580","8400019","Burne Street","15"
"2812","8400019","Burne Street","12"
"5690","8400019","Burne Street","12"
"1597","8400020","Capener's Close","3"
"2828","8400020","Capener's Close","3"
"5701","8400020","Capener's Close","3"
"1600","8400021","Capland Street","15"
"2829","8400021","Capland Street","15"
"4772","8400021","Capland Street","15"
"5261","8400021","Capland Street","12"
"1606","8400022","Carey Street","57"
"2834","8400022","Carey Street","57"
"5704","8400022","Carey Street","57"
"165","8400023","Carlisle Place","40"
"1607","8400023","Carlisle Place","40"
"1608","8400023","Carlisle Place","63"
"5312","8400023","Carlisle Place","42"
"5406","8400023","Carlisle Place","40"
"2835","8400023","Carlisle Place","42"
"1609","8400024","Carlisle Street","57"
"2836","8400024","Carlisle Street","57"
"5071","8400024","Carlisle Street","57"
"1610","8400025","Carlos Place","47"
"2837","8400025","Carlos Place","47"
"5705","8400025","Carlos Place","47"
"1663","8400026","Chandos Place","57"
"2883","8400026","Chandos Place","57"
"5730","8400026","Chandos Place","57"
"1664","8400027","Chandos Street","52"
"5731","8400027","Chandos Street","52"
"2884","8400027","Chandos Street","52"
"1665","8400028","Chapel Place","52"
"2886","8400028","Chapel Place","52"
"5732","8400028","Chapel Place","52"
"1666","8400029","Chapel Side","14"
"4942","8400029","Chapel Side","14"
"2887","8400029","Chapel Side","14"
"175","8400030","Chapel Street","51"
"1667","8400030","Chapel Street","51"
"1668","8400030","Chapel Street","3"
"2889","8400030","Chapel Street","3"
"4742","8400030","Chapel Street","54"
"5437","8400030","Chapel Street","3"
"1696","8400031","Chester Close","3"
"5745","8400031","Chester Close","3"
"2913","8400031","Chester Close","3"
"1701","8400032","Chester Mews","3"
"2914","8400032","Chester Mews","3"
"5746","8400032","Chester Mews","3"
"2890","8400033","Chapel Street","54"
"1669","8400034","Chapone Place","57"
"2891","8400034","Chapone Place","57"
"5733","8400034","Chapone Place","57"
"176","8400035","Chapter Street","39"
"1670","8400035","Chapter Street","39"
"1671","8400035","Chapter Street","63"
"2893","8400035","Chapter Street","42"
"5317","8400035","Chapter Street","42"
"5734","8400035","Chapter Street","42"
"1703","8400036","Chester Row","3"
"2916","8400036","Chester Row","3"
"5413","8400036","Chester Row","3"
"1704","8400037","Chester Square","3"
"2917","8400037","Chester Square","3"
"5412","8400037","Chester Square","3"
"179","8400038","Cirencester Street","36"
"1732","8400038","Cirencester Street","75"
"1733","8400038","Cirencester Street","75"
"5765","8400038","Cirencester Street","28"
"2946","8400038","Cirencester Street","28"
"1735","8400039","Clare Market","57"
"2947","8400039","Clare Market","57"
"5766","8400039","Clare Market","57"
"1737","8400040","Clarence Terrace","71"
"1738","8400040","Clarence Terrace","71"
"2948","8400040","Clarence Terrace","74"
"1739","8400041","Clarendon Close","50"
"2949","8400041","Clarendon Close","50"
"5767","8400041","Clarendon Close","50"
"180","8400042","Clarendon Gardens","23"
"5768","8400042","Clarendon Gardens","9"
"1740","8400042","Clarendon Gardens","24"
"1741","8400042","Clarendon Gardens","24"
"2950","8400042","Clarendon Gardens","9"
"1723","8400043","Churchill Gardens Road","2"
"2939","8400043","Churchill Gardens Road","2"
"5198","8400043","Churchill Gardens Road","2"
"1742","8400044","Clarendon Mews","50"
"2951","8400044","Clarendon Mews","50"
"5769","8400044","Clarendon Mews","50"
"1743","8400045","Clarendon Place","50"
"2953","8400045","Clarendon Place","50"
"5770","8400045","Clarendon Place","50"
"1744","8400046","Clarendon Street","2"
"2954","8400046","Clarendon Street","2"
"4874","8400046","Clarendon Street","2"
"181","8400047","Clarendon Terrace","23"
"1747","8400047","Clarendon Terrace","24"
"1748","8400047","Clarendon Terrace","24"
"2955","8400047","Clarendon Terrace","9"
"5771","8400047","Clarendon Terrace","9"
"1749","8400048","Clarges Mews","47"
"2956","8400048","Clarges Mews","47"
"5772","8400048","Clarges Mews","47"
"1750","8400049","Clarges Street","47"
"2957","8400049","Clarges Street","47"
"5118","8400049","Clarges Street","47"
"182","8400050","Clarke's Mews","51"
"1751","8400050","Clarke's Mews","51"
"2958","8400050","Clarke's Mews","51"
"5773","8400050","Clarke's Mews","51"
"1752","8400051","Claverton Street","2"
"2959","8400051","Claverton Street","2"
"5199","8400051","Claverton Street","2"
"1753","8400052","Clay Street","51"
"5774","8400052","Clay Street","51"
"2960","8400052","Clay Street","51"
"2374","8400053","Hinde Street","52"
