"id","bayid","eventTime","estimatedSpaces"
1,4,2013-12-20 16:00:00,7.45
2,4,2013-12-20 17:00:00,7.71666666666667
3,6,2013-05-16 13:00:00,10.8166666666667
4,6,2013-05-16 14:00:00,10
5,6,2013-05-16 15:00:00,10
6,6,2013-05-16 16:00:00,10.1833333333333
7,8,2013-05-16 14:00:00,5.08333333333333
8,8,2013-05-16 15:00:00,6.91666666666667
9,17,2013-05-16 14:00:00,10.05
10,17,2013-05-16 15:00:00,10
11,17,2013-05-16 16:00:00,10
12,17,2013-05-16 17:00:00,10
13,17,2013-05-16 18:00:00,10.95
14,17,2013-12-20 16:00:00,9.78333333333333
15,17,2013-12-20 17:00:00,9
16,17,2013-12-20 18:00:00,10.0833333333333
17,18,2013-05-16 13:00:00,3.93333333333333
18,18,2013-05-16 14:00:00,3
19,18,2013-05-16 15:00:00,3.4
20,25,2013-12-20 16:00:00,13.8333333333333
21,25,2013-12-20 17:00:00,13
22,25,2013-12-20 18:00:00,13.5
23,27,2013-05-16 13:00:00,10.8333333333333
24,27,2013-05-16 14:00:00,10.1666666666667
25,27,2013-12-20 16:00:00,10.1
26,27,2013-12-20 17:00:00,8.33333333333333
27,27,2013-12-20 18:00:00,10.5666666666667
28,29,2013-05-16 13:00:00,8.7
29,29,2013-05-16 14:00:00,7.13333333333333
30,29,2013-05-16 15:00:00,8.16666666666667
31,29,2013-12-20 16:00:00,8.75
32,29,2013-12-20 17:00:00,8
33,29,2013-12-20 18:00:00,8.48333333333333
34,32,2013-05-16 13:00:00,8.86666666666667
35,32,2013-05-16 14:00:00,8.13333333333333
36,32,2013-12-20 17:00:00,8.5
37,33,2013-12-20 16:00:00,5.5
38,34,2013-12-20 17:00:00,3.11666666666667
39,34,2013-12-20 18:00:00,3.38333333333333
40,36,2013-05-16 13:00:00,17.9833333333333
41,36,2013-05-16 14:00:00,17
42,36,2013-05-16 15:00:00,17
43,36,2013-05-16 16:00:00,17
44,36,2013-05-16 17:00:00,17.0166666666667
45,36,2013-12-20 16:00:00,17.0333333333333
46,36,2013-12-20 17:00:00,16.4
47,36,2013-12-20 18:00:00,17.4666666666667
48,40,2013-05-16 13:00:00,7.98333333333333
49,40,2013-05-16 14:00:00,7.01666666666667
50,45,2013-12-20 16:00:00,11.5
51,48,2013-05-16 13:00:00,1.98333333333333
52,48,2013-05-16 14:00:00,1.01666666666667
53,50,2013-12-20 16:00:00,5.75
54,50,2013-12-20 17:00:00,5.25
55,52,2013-05-16 13:00:00,4.85
56,52,2013-05-16 14:00:00,4
57,52,2013-05-16 15:00:00,4
58,52,2013-05-16 16:00:00,4.15
59,60,2013-05-16 13:00:00,3.88333333333333
60,60,2013-05-16 14:00:00,3
61,60,2013-05-16 15:00:00,3.11666666666667
62,61,2013-05-16 13:00:00,3.75
63,61,2013-05-16 14:00:00,3
64,61,2013-05-16 15:00:00,3
65,61,2013-05-16 16:00:00,3.25
66,61,2013-12-20 16:00:00,3.66666666666667
67,62,2013-12-20 17:00:00,5.15
68,62,2013-12-20 18:00:00,5.5
69,63,2013-12-20 16:00:00,10.8
70,65,2013-05-16 13:00:00,4.86666666666667
71,65,2013-05-16 14:00:00,4.38333333333333
72,65,2013-12-20 17:00:00,4.35
73,65,2013-12-20 18:00:00,4.48333333333333
74,66,2013-12-20 16:00:00,3.28333333333333
75,66,2013-12-20 17:00:00,3.55
76,67,2013-12-20 16:00:00,5.5
77,80,2013-12-20 16:00:00,2.88333333333333
78,80,2013-12-20 17:00:00,2.15
79,80,2013-12-20 18:00:00,3.46666666666667
80,85,2013-05-16 13:00:00,5.81666666666667
81,85,2013-05-16 14:00:00,5.18333333333333
82,86,2013-05-16 14:00:00,2.05
83,86,2013-05-16 15:00:00,2.28333333333333
84,88,2014-01-27 07:00:00,9.7
85,88,2014-01-27 08:00:00,9
86,88,2014-01-27 09:00:00,9
87,88,2014-01-27 10:00:00,9
88,88,2014-01-27 11:00:00,9.3
89,89,2013-05-16 13:00:00,9.68333333333333
90,89,2013-05-16 14:00:00,9.06666666666667
91,89,2013-12-20 16:00:00,9.36666666666667
92,89,2013-12-20 17:00:00,9.38333333333333
93,90,2013-12-20 16:00:00,5.61666666666667
94,90,2013-12-20 17:00:00,5.38333333333333
95,90,2014-01-27 08:00:00,5.4
96,90,2014-01-27 09:00:00,5.6
97,96,2013-12-20 16:00:00,3.1
98,96,2013-12-20 17:00:00,2
99,96,2013-12-20 18:00:00,2.98333333333333
100,98,2013-05-16 13:00:00,3.71666666666667
101,98,2013-05-16 14:00:00,3.03333333333333
102,100,2013-05-16 14:00:00,8.06666666666667
103,100,2013-05-16 15:00:00,8.93333333333333
104,103,2013-12-20 16:00:00,15.75
105,103,2013-12-20 17:00:00,15
106,103,2013-12-20 18:00:00,15.5
107,105,2013-05-16 14:00:00,47.05
108,105,2013-05-16 15:00:00,47
109,105,2013-05-16 16:00:00,47.95
110,105,2013-12-20 16:00:00,46.5
111,105,2013-12-20 17:00:00,46.7666666666667
112,105,2013-12-20 18:00:00,47.7333333333333
113,106,2013-05-16 14:00:00,19.0833333333333
114,106,2013-05-16 15:00:00,19.9166666666667
115,106,2013-12-20 16:00:00,19
116,106,2013-12-20 17:00:00,18
117,106,2013-12-20 18:00:00,18.8833333333333
118,106,2013-12-20 19:00:00,19
119,106,2013-12-20 20:00:00,19.6166666666667
120,109,2013-05-16 13:00:00,13.6666666666667
121,110,2013-12-20 16:00:00,5.98333333333333
122,110,2013-12-20 17:00:00,5
123,110,2013-12-20 18:00:00,5.51666666666667
124,111,2013-05-16 14:00:00,4.05
125,111,2013-05-16 15:00:00,4.95
126,115,2013-12-20 17:00:00,14.15
127,115,2013-12-20 18:00:00,14.5166666666667
128,122,2013-12-20 16:00:00,4.73333333333333
129,122,2013-12-20 17:00:00,4
130,122,2013-12-20 18:00:00,4.26666666666667
131,124,2013-12-20 16:00:00,4.98333333333333
132,124,2013-12-20 17:00:00,4
133,124,2013-12-20 18:00:00,4.51666666666667
134,125,2013-12-20 16:00:00,5.41666666666667
135,125,2013-12-20 17:00:00,5
136,125,2013-12-20 18:00:00,5.5
137,127,2013-12-20 16:00:00,16.2666666666667
138,127,2013-12-20 17:00:00,16.7333333333333
139,129,2013-05-16 13:00:00,11.8333333333333
140,129,2013-05-16 14:00:00,11
141,129,2013-05-16 15:00:00,11
142,129,2013-05-16 16:00:00,11.6666666666667
143,129,2013-12-20 16:00:00,11.65
144,129,2013-12-20 17:00:00,11.0166666666667
145,131,2013-05-16 14:00:00,7.06666666666667
146,131,2013-05-16 15:00:00,7
147,131,2013-05-16 16:00:00,7
148,131,2013-05-16 17:00:00,7.43333333333333
149,132,2013-05-16 13:00:00,10.9833333333333
150,132,2013-05-16 14:00:00,7.16666666666667
151,132,2013-05-16 15:00:00,7
152,132,2013-05-16 16:00:00,7
153,132,2013-05-16 17:00:00,7.3
154,132,2013-05-16 18:00:00,10.8833333333333
155,134,2013-12-20 16:00:00,23.4833333333333
156,134,2013-12-20 17:00:00,22.6666666666667
157,134,2013-12-20 18:00:00,23.5
158,135,2013-12-20 17:00:00,3.35
159,135,2013-12-20 18:00:00,3.48333333333333
160,137,2013-12-20 16:00:00,6.13333333333333
161,137,2013-12-20 17:00:00,5.85
162,137,2013-12-20 18:00:00,6.51666666666667
163,138,2013-05-16 13:00:00,5.9
164,138,2013-05-16 14:00:00,5.9
165,138,2013-12-20 16:00:00,5.81666666666667
166,138,2013-12-20 17:00:00,5.68333333333333
167,139,2013-05-16 14:00:00,3.03333333333333
168,139,2013-05-16 15:00:00,3
169,139,2013-05-16 16:00:00,3
170,139,2013-05-16 17:00:00,3
171,139,2013-05-16 18:00:00,3.96666666666667
172,139,2013-12-20 16:00:00,3.65
173,139,2013-12-20 17:00:00,3.85
174,140,2013-05-16 13:00:00,2.9
175,140,2013-05-16 14:00:00,1.91666666666667
176,140,2013-05-16 15:00:00,2.93333333333333
177,142,2013-05-16 13:00:00,2.9
178,142,2013-05-16 14:00:00,2.43333333333333
179,142,2013-12-20 16:00:00,2.63333333333333
180,142,2013-12-20 17:00:00,2
181,142,2013-12-20 18:00:00,2.5
182,145,2013-12-20 17:00:00,7.11666666666667
183,145,2013-12-20 18:00:00,7.88333333333333
184,147,2013-12-20 16:00:00,4.98333333333333
185,147,2013-12-20 17:00:00,4.01666666666667
186,148,2013-05-16 13:00:00,6.3
187,148,2013-05-16 14:00:00,6
188,148,2013-05-16 15:00:00,6.95
189,152,2013-12-20 17:00:00,5.06666666666667
190,152,2013-12-20 18:00:00,5.93333333333333
191,154,2013-12-20 16:00:00,4.81666666666667
192,154,2013-12-20 17:00:00,4
193,154,2013-12-20 18:00:00,4.68333333333333
194,160,2013-05-16 13:00:00,2.88333333333333
195,160,2013-05-16 14:00:00,2.11666666666667
196,171,2013-05-16 13:00:00,4.88333333333333
197,171,2013-05-16 14:00:00,4
198,171,2013-05-16 15:00:00,4.95
199,174,2013-05-16 14:00:00,5.05
200,174,2013-05-16 15:00:00,5.78333333333333
201,180,2013-12-20 17:00:00,5.86666666666667
202,181,2013-12-20 16:00:00,4.75
203,184,2013-05-16 14:00:00,13.0666666666667
204,184,2013-05-16 15:00:00,13.9333333333333
205,184,2013-12-20 16:00:00,13.5
206,184,2013-12-20 17:00:00,13.5
207,185,2013-05-16 14:00:00,14.5
208,186,2013-05-16 14:00:00,17.0333333333333
209,186,2013-05-16 15:00:00,17
210,186,2013-05-16 16:00:00,17.9666666666667
211,189,2013-12-20 16:00:00,10.4333333333333
212,189,2013-12-20 17:00:00,9.43333333333333
213,189,2013-12-20 18:00:00,10.8833333333333
214,199,2013-12-20 16:00:00,6.98333333333333
215,200,2013-05-16 13:00:00,8.9
216,200,2013-05-16 14:00:00,8.6
217,203,2013-05-16 13:00:00,6.98333333333333
218,203,2013-05-16 14:00:00,6.01666666666667
219,205,2013-05-16 13:00:00,9.98333333333333
220,205,2013-05-16 14:00:00,9
221,205,2013-05-16 15:00:00,9.01666666666667
222,208,2013-05-16 13:00:00,6.9
223,208,2013-05-16 14:00:00,6.35
224,214,2013-05-16 14:00:00,11.3333333333333
225,217,2013-05-16 14:00:00,17.05
226,217,2013-05-16 15:00:00,17.2833333333333
227,217,2013-12-20 16:00:00,17.9166666666667
228,217,2013-12-20 17:00:00,17.0833333333333
229,217,2014-01-27 07:00:00,17.9833333333333
230,217,2014-01-27 08:00:00,17.0166666666667
231,218,2013-12-20 17:00:00,11.15
232,218,2013-12-20 18:00:00,11.5
233,221,2013-12-20 16:00:00,15.2333333333333
234,221,2013-12-20 17:00:00,15.0166666666667
235,222,2013-12-20 17:00:00,5.11666666666667
236,222,2013-12-20 18:00:00,5
237,222,2013-12-20 19:00:00,5
238,222,2013-12-20 20:00:00,5.88333333333333
239,226,2013-12-20 16:00:00,49.25
240,226,2013-12-20 17:00:00,49.5833333333333
241,228,2013-05-16 13:00:00,6.83333333333333
242,228,2013-05-16 14:00:00,6.66666666666667
243,229,2013-05-16 14:00:00,6
244,229,2014-01-27 08:00:00,6.4
245,229,2014-01-27 09:00:00,6.85
246,230,2013-12-20 16:00:00,20.75
247,230,2013-12-20 17:00:00,20
248,230,2013-12-20 18:00:00,20.4166666666667
249,231,2013-05-16 13:00:00,31.8333333333333
250,231,2013-05-16 14:00:00,31.1666666666667
251,232,2013-05-16 13:00:00,35.8333333333333
252,232,2013-05-16 14:00:00,35
253,232,2013-05-16 15:00:00,35
254,232,2013-05-16 16:00:00,35
255,232,2013-05-16 17:00:00,35.1666666666667
256,235,2013-05-16 14:00:00,5.5
257,241,2013-05-16 13:00:00,9.86666666666667
258,241,2013-05-16 14:00:00,9
259,241,2013-05-16 15:00:00,9.13333333333333
260,245,2013-05-16 13:00:00,9.86666666666667
261,245,2013-05-16 14:00:00,9
262,245,2013-12-20 16:00:00,9.48333333333333
263,245,2013-12-20 17:00:00,8.51666666666667
264,245,2014-01-27 08:00:00,9.45
265,245,2014-01-27 09:00:00,9
266,245,2014-01-27 10:00:00,9
267,245,2014-01-27 11:00:00,9
268,245,2014-01-27 12:00:00,9.55
269,279,2013-05-16 13:00:00,7.83333333333333
270,279,2013-05-16 14:00:00,7
271,279,2013-05-16 15:00:00,7.66666666666667
272,285,2014-01-27 08:00:00,2.45
273,285,2014-01-27 09:00:00,2
274,285,2014-01-27 10:00:00,2.55
275,287,2014-01-27 08:00:00,4.45
276,287,2014-01-27 09:00:00,4.55
277,294,2013-05-16 13:00:00,7.85
278,294,2013-05-16 14:00:00,7.98333333333333
279,294,2013-12-20 16:00:00,7.23333333333333
280,294,2013-12-20 17:00:00,7.76666666666667
281,296,2013-05-16 13:00:00,5.88333333333333
282,296,2013-05-16 14:00:00,5
283,296,2013-05-16 15:00:00,5.11666666666667
284,298,2013-05-16 14:00:00,5.05
285,298,2013-05-16 15:00:00,5
286,298,2013-05-16 16:00:00,5
287,298,2013-05-16 17:00:00,5
288,298,2013-05-16 18:00:00,5.95
289,299,2013-05-16 14:00:00,1.33333333333333
290,307,2014-01-27 08:00:00,3.45
291,307,2014-01-27 09:00:00,3.88333333333333
292,309,2013-12-20 16:00:00,7.73333333333333
293,309,2013-12-20 17:00:00,7
294,309,2013-12-20 18:00:00,7.51666666666667
295,312,2013-12-20 16:00:00,5.66666666666667
296,314,2014-01-27 08:00:00,7.45
297,314,2014-01-27 09:00:00,7
298,314,2014-01-27 10:00:00,7
299,314,2014-01-27 11:00:00,7
300,314,2014-01-27 12:00:00,7.55
301,329,2013-05-16 13:00:00,7.88333333333333
302,329,2013-05-16 14:00:00,7.11666666666667
303,330,2013-05-16 13:00:00,3.73333333333333
304,330,2013-05-16 14:00:00,3
305,330,2013-05-16 15:00:00,3
306,330,2013-05-16 16:00:00,3
307,330,2013-05-16 17:00:00,3.26666666666667
308,331,2013-05-16 14:00:00,4.71666666666667
309,334,2013-12-20 16:00:00,6.48333333333333
310,334,2013-12-20 17:00:00,6.51666666666667
311,335,2013-05-16 13:00:00,4.9
312,335,2013-05-16 14:00:00,4.76666666666667
313,336,2013-12-20 16:00:00,7.23333333333333
314,336,2013-12-20 17:00:00,7.26666666666667
315,339,2013-05-16 13:00:00,6.9
316,339,2013-05-16 14:00:00,6
317,339,2013-05-16 15:00:00,6.1
318,341,2013-12-20 16:00:00,7.38333333333333
319,341,2013-12-20 17:00:00,7
320,341,2013-12-20 18:00:00,7.28333333333333
321,350,2013-12-20 16:00:00,6.21666666666667
322,350,2013-12-20 17:00:00,6
323,350,2013-12-20 18:00:00,6
324,350,2013-12-20 19:00:00,6.78333333333333
325,355,2013-05-16 13:00:00,5.86666666666667
326,355,2013-05-16 14:00:00,5
327,355,2013-05-16 15:00:00,5.13333333333333
328,359,2013-12-20 16:00:00,18.2333333333333
329,359,2013-12-20 17:00:00,18.5166666666667
330,364,2013-05-16 14:00:00,8.63333333333333
331,366,2013-12-20 16:00:00,4.31666666666667
332,366,2013-12-20 17:00:00,4
333,366,2013-12-20 18:00:00,4.68333333333333
334,367,2013-05-16 13:00:00,4.83333333333333
335,367,2013-05-16 14:00:00,3.01666666666667
336,367,2013-05-16 15:00:00,4
337,367,2013-05-16 16:00:00,4
338,367,2013-05-16 17:00:00,4.15
339,367,2013-12-20 16:00:00,4.81666666666667
340,367,2013-12-20 17:00:00,4.68333333333333
341,371,2013-12-20 16:00:00,4.21666666666667
342,371,2013-12-20 17:00:00,4
343,371,2013-12-20 18:00:00,4.78333333333333
344,372,2013-05-16 13:00:00,9.9
345,372,2013-05-16 14:00:00,9.85
346,372,2013-12-20 16:00:00,9.35
347,372,2013-12-20 17:00:00,9.65
348,373,2013-12-20 16:00:00,5.75
349,373,2013-12-20 17:00:00,5
350,373,2013-12-20 18:00:00,5.41666666666667
351,379,2013-05-16 14:00:00,12.15
352,379,2013-05-16 15:00:00,12
353,379,2013-05-16 16:00:00,12
354,379,2013-05-16 17:00:00,12
355,379,2013-05-16 18:00:00,13.85
356,379,2013-12-20 16:00:00,13.1
357,379,2013-12-20 17:00:00,13.4166666666667
358,379,2014-01-27 08:00:00,13.1666666666667
359,379,2014-01-27 09:00:00,13
360,379,2014-01-27 10:00:00,13
361,379,2014-01-27 11:00:00,13
362,379,2014-01-27 12:00:00,13.8333333333333
363,385,2013-12-20 16:00:00,9.75
364,385,2014-01-27 08:00:00,9.4
365,385,2014-01-27 09:00:00,9
366,385,2014-01-27 10:00:00,9.6
367,390,2013-05-16 13:00:00,8.83333333333333
368,390,2013-05-16 14:00:00,8
369,390,2013-05-16 15:00:00,8.16666666666667
370,390,2013-12-20 16:00:00,8.65
371,390,2013-12-20 17:00:00,8.85
372,391,2013-05-16 13:00:00,3.9
373,391,2013-05-16 14:00:00,3
374,391,2013-05-16 15:00:00,3.1
375,393,2013-12-20 16:00:00,1.26666666666667
376,393,2013-12-20 17:00:00,1.73333333333333
377,394,2013-05-16 13:00:00,10.2833333333333
378,394,2013-05-16 14:00:00,9.71666666666667
379,396,2013-12-20 16:00:00,8.65
380,396,2013-12-20 17:00:00,8.01666666666667
381,398,2013-12-20 16:00:00,5.98333333333333
382,398,2013-12-20 17:00:00,5
383,398,2013-12-20 18:00:00,5.51666666666667
384,401,2013-05-16 13:00:00,11.95
385,401,2013-05-16 14:00:00,11
386,401,2013-05-16 15:00:00,11.9666666666667
387,401,2013-12-20 16:00:00,11.9833333333333
388,401,2013-12-20 17:00:00,10.35
389,401,2013-12-20 18:00:00,11
390,402,2013-05-16 13:00:00,2.98333333333333
391,402,2013-05-16 14:00:00,2
392,402,2013-05-16 15:00:00,2.51666666666667
393,402,2013-12-20 16:00:00,2.95
394,402,2013-12-20 17:00:00,2.3
395,406,2013-12-20 16:00:00,5.33333333333333
396,406,2013-12-20 17:00:00,5
397,406,2013-12-20 18:00:00,5.5
398,408,2014-01-27 08:00:00,6.45
399,408,2014-01-27 09:00:00,6
400,408,2014-01-27 10:00:00,6
401,408,2014-01-27 11:00:00,6
402,408,2014-01-27 12:00:00,6.55
403,414,2013-12-20 16:00:00,1.93333333333333
404,414,2013-12-20 17:00:00,0.383333333333333
405,414,2013-12-20 18:00:00,1.93333333333333
406,416,2013-12-20 16:00:00,9.73333333333333
407,416,2013-12-20 17:00:00,9
408,416,2013-12-20 18:00:00,9.26666666666667
409,417,2013-12-20 16:00:00,10.2
410,417,2013-12-20 17:00:00,9.28333333333333
411,417,2013-12-20 18:00:00,10.5166666666667
412,418,2013-05-16 13:00:00,11.8833333333333
413,418,2013-05-16 14:00:00,11.7
414,421,2013-05-16 14:00:00,2.75
