%-Parking-data-(estimated-cars-per-bay)-for-bay-344
@relation parking

@attribute eventTime date ‘yyyy-MM-dd-HH:mm:ss’
@attribute occupiedSpaces numeric

@data
2013-12-06-17:00:00,1.68333333333333
2013-11-07-11:00:00,1.43333333333333
2013-05-27-11:00:00,1
2013-08-20-14:00:00,1.38333333333333
2013-10-07-14:00:00,2.78333333333333
2013-06-08-15:00:00,1
2013-09-13-14:00:00,1.96666666666667
2013-04-04-17:00:00,1
2013-10-10-18:00:00,0.5
2013-09-19-16:00:00,0.566666666666667
2013-10-31-16:00:00,3.85
2013-06-12-16:00:00,2
2013-07-02-16:00:00,2.38333333333333
2013-04-29-12:00:00,1.65
2014-02-03-16:00:00,3.46666666666667
2013-06-20-10:00:00,3
2013-07-08-09:00:00,0.25
2013-04-26-09:00:00,0.9
2013-04-09-18:00:00,0.566666666666667
2013-11-18-09:00:00,0.833333333333333
2013-12-20-15:00:00,0.8
2013-11-12-17:00:00,3.53333333333333
2014-01-16-08:00:00,0.25
2014-02-12-13:00:00,1
2013-08-06-14:00:00,2.55
2013-04-03-13:00:00,2.21666666666667
2013-11-25-15:00:00,1.95
2014-01-27-16:00:00,1
2013-12-13-15:00:00,1
2014-01-02-15:00:00,1.68333333333333
2013-11-07-09:00:00,1.26666666666667
2013-08-20-08:00:00,0.95
2013-10-07-12:00:00,1.35
2013-08-28-18:00:00,0.25
2013-09-06-14:00:00,2.73333333333333
2013-06-25-16:00:00,1
2013-12-10-10:00:00,1
2013-11-18-16:00:00,1.71666666666667
2013-05-13-08:00:00,0.95
2013-09-19-18:00:00,0.95
2013-04-11-11:00:00,1
2013-08-29-14:00:00,2.55
2013-05-15-09:00:00,2
2013-06-07-19:00:00,0.116666666666667
2013-09-13-12:00:00,1.33333333333333
2013-06-08-13:00:00,0.833333333333333
2013-06-20-08:00:00,1.16666666666667
2013-09-11-17:00:00,1
2013-04-26-15:00:00,1.21666666666667
2014-01-29-13:00:00,2.4
2014-02-03-14:00:00,2.23333333333333
2013-08-06-12:00:00,3.41666666666667
2014-01-16-10:00:00,1
2013-12-24-12:00:00,0.65
2013-04-30-18:00:00,0.75
2013-04-09-16:00:00,0.316666666666667
2013-12-13-13:00:00,0.75
2014-01-08-16:00:00,2.83333333333333
2014-01-27-18:00:00,0.55
2013-04-03-15:00:00,2.8
2013-11-12-15:00:00,3.83333333333333
2013-07-18-17:00:00,3.08333333333333
2013-09-06-12:00:00,2.21666666666667
2013-11-07-15:00:00,1.5
2013-11-25-17:00:00,1.13333333333333
2013-08-03-17:00:00,0.516666666666667
2013-08-20-10:00:00,4.18333333333333
2014-01-02-13:00:00,2
2014-02-04-18:00:00,2.46666666666667
2013-11-01-16:00:00,3.16666666666667
2013-09-20-17:00:00,1.21666666666667
2013-06-12-20:00:00,0.35
2013-07-02-12:00:00,2.91666666666667
2013-11-28-18:00:00,0.816666666666667
2013-07-05-11:00:00,0.916666666666667
2013-12-16-16:00:00,0.0833333333333333
2013-06-07-17:00:00,1.98333333333333
2013-08-29-12:00:00,4
2014-02-03-12:00:00,2
2013-10-18-12:00:00,2.51666666666667
2013-04-30-16:00:00,0.75
2013-06-13-12:00:00,0.983333333333333
2013-07-31-06:00:00,0.666666666666667
2013-12-24-14:00:00,1.71666666666667
2013-06-19-19:00:00,0.05
2013-04-26-13:00:00,2.1
2014-01-08-18:00:00,0.25
2013-10-18-09:00:00,1.41666666666667
2013-08-06-18:00:00,1.33333333333333
2013-11-12-13:00:00,4.83333333333333
2014-01-16-12:00:00,0.75
2013-07-11-17:00:00,0.933333333333333
2013-09-06-10:00:00,3
2013-04-03-09:00:00,2
2014-02-12-07:00:00,0.466666666666667
2014-02-12-12:00:00,1
2013-08-03-19:00:00,1
2013-11-07-13:00:00,1.43333333333333
2013-04-08-12:00:00,0.983333333333333
2013-07-02-14:00:00,1.71666666666667
2013-11-01-18:00:00,1.51666666666667
2013-11-28-16:00:00,0.216666666666667
2013-04-25-17:00:00,2.66666666666667
2013-10-31-10:00:00,2.68333333333333
2013-12-10-14:00:00,1.75
2014-02-03-10:00:00,1.15
2013-09-20-19:00:00,0.483333333333333
2013-09-09-15:00:00,2.28333333333333
2013-05-22-17:00:00,0.5
2013-08-29-10:00:00,2.56666666666667
2013-09-18-10:00:00,2.56666666666667
2013-12-24-08:00:00,0.7
2013-12-16-18:00:00,1.06666666666667
2014-01-03-09:00:00,0.0666666666666667
2013-05-17-12:00:00,1.75
2013-08-02-15:00:00,2.35
